Sample,Species,Area,Sex,Length,OtoWt
1,Hake,B,M,23,34.1
2,Hake,C,F,26,42.1
3,Hake,C,M,20,31.9
4,Hake,B,F,NA,33.5
5,Hake,E,F,23,29.2
6,Hake,B,M,24,34.2
7,Hake,B,F,24,40.2
8,Hake,A,M,23,NA
9,Hake,E,F,23,35.2
10,Hake,D,F,34,87
11,Hake,C,M,30,70.2
12,Hake,C,F,36,NA
13,Hake,B,F,36,96.5
14,Hake,B,F,31,89.8
15,Hake,D,F,31,74.4
16,Hake,C,M,26,62.8
17,Hake,E,M,31,77.4
18,Hake,E,F,34,85.7
19,Hake,C,M,35,92.2
20,Hake,C,M,35,95.8
21,Hake,B,M,34,92.9
22,Hake,C,F,39,116.4
23,Hake,B,F,42,156
24,Hake,C,F,43,137.9
25,Hake,E,M,42,137.7
26,Hake,A,M,24,43
27,Hake,C,M,21,32.1
28,Hake,B,M,NA,29.7
29,Hake,B,F,NA,29.3
30,Hake,D,M,22,32.2
31,Hake,A,F,23,32.8
32,Hake,D,F,24,35
33,Hake,B,M,23,35.4
34,Hake,A,M,21,28.4
35,Hake,D,M,22,27.2
36,Hake,A,M,23,33.5
37,Hake,D,F,37,82.7
38,Hake,B,F,33,78.2
39,Hake,A,M,34,85.9
40,Hake,B,M,31,66.7
41,Hake,C,M,31,77.7
42,Hake,C,F,31,71.9
43,Hake,B,M,30,78.3
44,Hake,A,F,36,103.5
45,Hake,C,F,37,102.3
46,Hake,B,F,35,106
47,Hake,A,F,36,115.2
48,Hake,D,F,42,146.8
49,Hake,D,F,36,107.6
50,Hake,E,M,37,125.7
51,Hake,B,F,41,139.9
52,Hake,E,F,41,134.3
53,Hake,C,M,43,146.7
54,Hake,E,F,42,145.9
55,Hake,C,F,46,174.4
56,Hake,A,M,45,151.2
57,Hake,E,M,43,146.8
58,Hake,B,F,43,144.9
59,Hake,C,M,43,161.4
60,Hake,A,M,44,196.7
61,Hake,E,M,44,NA
62,Hake,D,F,44,163.1
63,Hake,B,M,45,202.1
64,Hake,E,F,45,166
65,Hake,B,M,45,151.2
66,Hake,B,F,41,167.2
67,Hake,A,F,39,126.6
68,Hake,B,F,46,180.2
69,Hake,D,M,45,188.4
70,Hake,C,F,49,192.3
71,Hake,C,F,43,185.6
72,Hake,A,F,46,185.7
73,Hake,A,F,46,181
74,Hake,E,M,44,NA
75,Hake,E,F,47,175.1
76,Hake,D,M,40,NA
77,Hake,D,F,41,122.8
78,Hake,E,F,41,NA
79,Hake,A,M,43,144.3
80,Hake,E,F,39,123.3
81,Hake,D,F,40,138.9
82,Hake,C,M,42,137
83,Hake,B,F,47,182.5
84,Hake,B,M,38,119.8
85,Hake,B,M,47,NA
86,Hake,D,M,44,180.9
87,Hake,B,M,42,163.2
88,Hake,E,M,45,172.4
89,Hake,C,F,47,168.8
90,Hake,B,M,45,188.1
91,Hake,D,F,44,150
92,Hake,B,F,46,153.6
93,Hake,B,F,40,142.4
94,Hake,C,M,43,155
95,Hake,A,F,43,151.3
96,Hake,D,M,46,NA
97,Hake,B,F,40,145.6
98,Hake,E,M,47,189.8
99,Hake,E,F,47,203.6
100,Hake,E,F,48,209.8
101,Hake,E,M,42,180
102,Hake,D,F,45,220.3
103,Hake,C,M,43,180
104,Hake,E,F,44,173.5
105,Hake,B,F,47,207.1
106,Hake,B,M,45,226.4
107,Hake,A,F,47,189.8
108,Hake,E,F,46,180.2
109,Hake,B,F,45,199.7
110,Hake,B,F,45,194
111,Hake,A,F,45,193.2
112,Hake,B,M,46,177.8
113,Hake,C,F,45,183
114,Hake,D,F,53,249.6
115,Hake,D,M,43,157.8
116,Hake,A,M,46,220.1
117,Hake,A,M,48,186.6
118,Hake,A,F,48,195.1
119,Hake,C,F,45,172.2
120,Hake,D,F,51,202.5
121,Hake,D,F,47,203.7
122,Hake,B,F,50,225.8
123,Hake,E,F,48,185.2
124,Hake,C,M,49,199.4
125,Hake,B,M,48,218.4
126,Hake,B,M,50,231.5
127,Hake,B,F,51,228.5
128,Hake,E,F,47,226.5
129,Hake,A,M,42,186.5
130,Hake,E,F,46,180.3
131,Hake,E,M,47,215.6
132,Hake,C,F,47,203.8
133,Hake,B,M,46,189.5
134,Hake,C,F,48,207
135,Hake,C,F,45,173.8
136,Hake,D,M,48,219.7
137,Hake,D,M,47,208
138,Hake,B,F,49,196.5
139,Hake,E,M,45,189.9
140,Hake,A,M,49,226
141,Hake,D,F,50,225.5
142,Hake,D,F,55,249.5
143,Hake,C,M,47,231.9
144,Hake,A,F,47,200.3
145,Hake,C,F,48,208.1
146,Hake,C,M,47,206.4
147,Hake,A,M,47,207.6
148,Hake,B,M,47,218.4
149,Hake,C,M,58,293.5
150,Hake,E,F,48,196.9
151,Hake,A,F,46,227.7
152,Hake,D,M,45,228.8
153,Hake,B,M,48,243.5
154,Hake,D,M,45,188.5
155,Hake,A,F,50,261.2
156,Hake,C,M,45,193.3
157,Hake,D,F,46,200.4
158,Hake,D,M,49,237.4
159,Hake,D,F,50,231.2
160,Hake,E,M,45,231.5
161,Hake,C,F,48,193.3
162,Hake,B,M,47,250.4
163,Hake,B,F,47,251.5
164,Hake,E,F,52,247.2
165,Hake,E,F,49,212.4
166,Hake,E,F,47,208.1
167,Hake,C,M,50,248.6
168,Hake,E,M,50,201.9
169,Hake,B,F,49,232.6
170,Hake,C,M,47,218
171,Hake,A,M,46,230.7
172,Hake,C,F,53,317.2
173,Hake,E,M,50,254.1
174,Hake,E,F,49,207.7
175,Hake,B,F,48,231.2
176,Hake,D,F,46,214.1
177,Hake,D,M,45,210
178,Hake,E,F,51,262.2
179,Hake,C,M,50,236
180,Hake,C,F,49,233.6
181,Hake,C,F,50,256.3
182,Hake,B,M,50,151.4
183,Hake,A,F,47,248.2
184,Hake,B,M,49,210.6
185,Hake,D,M,47,221.9
186,Hake,E,F,48,251.6
187,Hake,E,F,49,235.5
188,Hake,D,M,48,304.3
189,Hake,E,F,48,203.1
190,Hake,D,M,50,210.3
191,Hake,E,M,48,223
192,Hake,C,F,45,206.2
193,Hake,C,F,51,266.1
194,Hake,C,F,50,248.2
195,Hake,B,M,70,385.5
196,Hake,E,F,48,256.5
197,Hake,B,F,64,364.6
198,Hake,A,F,50,302.1
199,Hake,E,M,58,389.9
200,Hake,C,F,60,279.1
201,Hake,E,M,50,241
202,Hake,D,M,51,285.6
203,Hake,A,M,47,282.7
204,Hake,B,M,50,225.6
205,Hake,C,M,54,288.8
206,Hake,C,M,49,264.9
207,Hake,C,M,48,252.5
208,Hake,B,M,51,309.7
209,Hake,C,F,49,285.9
210,Hake,E,F,46,243.2
211,Hake,C,M,50,275.8
212,Hake,B,F,49,284.7
213,Hake,E,M,55,289.7
214,Hake,C,F,50,253.7
215,Hake,A,M,49,248.4
216,Hake,D,F,50,236.2
217,Hake,E,F,55,285
218,Hake,C,F,62,338.8
219,Hake,D,M,56,NA
220,Hake,D,M,61,337
221,Hake,C,F,51,250.5
222,Hake,E,M,52,290.8
223,Hake,E,M,58,337.9
224,Hake,D,F,49,240.4
225,Hake,B,M,50,218
226,Hake,C,F,49,272.4